https://tableconvert.com/excel-to-sql,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
users,,,,,,,,users,,,,,,
email,password_hash,name,friend_ids,savings_goal,,,,email,password_hash,name,friend_ids,savings_goal,,
michael.yj.zhao@gmail.com ,pbkdf2:sha256:260000$CtGmXxAknSIcQIAA$fc1c9db9acc98b4cc5dc2c291e18c970e0e82463e22442edf6d03bc7e0d29ee7,Michael Zhao,"{2,3}",600,,,,michael.yj.zhao@gmail.com,pbkdf2:sha256:260000$CtGmXxAknSIcQIAA$fc1c9db9acc98b4cc5dc2c291e18c970e0e82463e22442edf6d03bc7e0d29ee7,Michael Zhao,"{2,3}",600,,
johnsmith@example.com     ,pbkdf2:sha256:260000$CtGmXxAknSIcQIAA$fc1c9db9acc98b4cc5dc2c291e18c970e0e82463e22442edf6d03bc7e0d29ee7,John Smith,{1},500,,,,johnsmith@example.com,pbkdf2:sha256:260000$CtGmXxAknSIcQIAA$fc1c9db9acc98b4cc5dc2c291e18c970e0e82463e22442edf6d03bc7e0d29ee7,John Smith,{1},500,,
marysmith@example.com,pbkdf2:sha256:260000$CtGmXxAknSIcQIAA$fc1c9db9acc98b4cc5dc2c291e18c970e0e82463e22442edf6d03bc7e0d29ee7,Mary Smith,{1},550,,,,marysmith@example.com,pbkdf2:sha256:260000$CtGmXxAknSIcQIAA$fc1c9db9acc98b4cc5dc2c291e18c970e0e82463e22442edf6d03bc7e0d29ee7,Mary Smith,{1},550,,
,,,,,,,,,,,,,,
transactions,,,,,,,,transactions,,,,,,
date,user_id,transaction_type,description,amount,category,type,,date,user_id,transaction_type,description,amount,category,type
2023-02-01,1,Income,Work salary,2000,Work,Income,,44958,1,Income,Work salary,2000,Work,Income
2023-02-03,1,Income,Dividends,500,Investment,Income,,44960,1,Income,Dividends,500,Investment,Income
2023-02-08,1,Income,Work salary,2000,Work,Income,,44965,1,Income,Work salary,2000,Work,Income
2023-02-11,1,Expense,Drinks at Manchuria,100,Eating out,Splurg,,44968,1,Expense,Drinks at Manchuria,100,Eating out,Splurg
2023-02-21,1,Expense,Dinner at Farmers Daughter,150,Eating out,Splurg,,44978,1,Expense,Dinner at Farmers Daughter,150,Eating out,Splurg
2023-03-03,1,Expense,Netflix,15,Entertainment,Splurg,,44988,1,Expense,Netflix,15,Entertainment,Splurg
2023-03-03,2,Income,Work salary,1500,Work,Income,,44988,2,Income,Work salary,1500,Work,Income
2023-03-13,2,Income,Work salary,1500,Work,Income,,44998,2,Income,Work salary,1500,Work,Income
2023-03-13,2,Expense,Uber eats,35,Eating out,Splurg,,44998,2,Expense,Uber eats,35,Eating out,Splurg
2023-03-23,2,Expense,Gym membership,27,Health,Essentials,,45008,2,Expense,Gym membership,27,Health,Essentials
2023-02-01,3,Income,Netflix,27,Entertainment,Splurg,,44958,3,Income,Netflix,27,Entertainment,Splurg
2023-02-03,3,Expense,Work salary,1000,Work,Income,,44960,3,Expense,Work salary,1000,Work,Income
2023-02-08,3,Expense,Work salary,500,Work,Income,,44965,3,Expense,Work salary,500,Work,Income
2023-02-11,3,Income,Uber eats,80,Eating out,Splurg,,44968,3,Income,Uber eats,80,Eating out,Splurg
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
posts,,,,,,,,posts,,,,,,
user_id,name,picture_path,likes,comments,description,,,user_id,name,picture_path,likes,comments,description,
1,Michael Zhao,300,"{2,3}","{'Great job', 'Congratulations'}",Good month!,,,1,Michael Zhao,300,"{2,3}","{'Great job', 'Congratulations'}",Good month!,
1,Michael Zhao,250,{2},{'Nice one'},Very happy with this one.,,,1,Michael Zhao,250,{2},{'Nice one'},Very happy with this one.,
2,John Smith,270,{1},"{'+1', 'Amazing!'}",Good first month,,,2,John Smith,270,{1},"{'+1', 'Amazing!'}",Good first month,
3,Mary Smith,265,{1},"{'Nice, Mary!'}",Happy with this.,,,3,Mary Smith,265,{1},"{'Nice, Mary!'}",Happy with this.,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
